,Time,Discharge
0,10-01-1954 ,979.3510000000001
1,11-01-1954 ,1030.009
2,12-01-1954 ,919.242
3,13-01-1954 ,952.675
4,14-01-1954 ,955.59
5,15-01-1954 ,969.9689999999999
6,16-01-1954 ,991.797
7,17-01-1954 ,908.6210000000001
8,18-01-1954 ,841.898
9,19-01-1954 ,837.74
10,20-01-1954 ,837.74
11,21-01-1954 ,811.3960000000001
12,22-01-1954 ,771.695
13,23-01-1954 ,888.125
14,24-01-1954 ,882.645
15,25-01-1954 ,827.6389999999999
16,26-01-1954 ,785.9580000000001
17,27-01-1954 ,769.846
18,28-01-1954 ,755.547
19,29-01-1954 ,888.815
20,30-01-1954 ,1129.708
21,31-01-1954 ,1400.3239999999998
22,01-01-1955 ,531.988
23,02-01-1955 ,390.905
24,03-01-1955 ,281.77
25,04-01-1955 ,323.939
26,05-01-1955 ,554.729
27,06-01-1955 ,572.841
28,07-01-1955 ,608.6619999999999
29,08-01-1955 ,745.072
30,09-01-1955 ,860.283
31,10-01-1955 ,993.444
32,11-01-1955 ,1133.2169999999999
33,12-01-1955 ,1142.535
34,13-01-1955 ,1112.504
35,14-01-1955 ,1082.999
36,15-01-1955 ,1263.817
37,16-01-1955 ,1292.6860000000001
38,17-01-1955 ,1292.173
39,18-01-1955 ,1152.153
40,19-01-1955 ,1158.399
41,20-01-1955 ,1190.656
42,21-01-1955 ,1145.7910000000002
43,22-01-1955 ,1142.535
44,23-01-1955 ,1142.535
45,24-01-1955 ,1206.136
46,25-01-1955 ,1367.974
47,26-01-1955 ,1267.741
48,27-01-1955 ,1197.23
49,28-01-1955 ,1193.177
50,29-01-1955 ,1366.52
51,30-01-1955 ,1513.283
52,31-01-1955 ,1524.9779999999998
53,01-01-1956 ,1577.8120000000001
54,02-01-1956 ,1613.619
55,03-01-1956 ,1563.81
56,04-01-1956 ,1560.1879999999999
57,05-01-1956 ,1560.1879999999999
58,06-01-1956 ,1560.1879999999999
59,07-01-1956 ,1560.1879999999999
60,08-01-1956 ,1542.22
61,09-01-1956 ,1488.172
62,10-01-1956 ,1484.516
63,11-01-1956 ,1484.516
64,12-01-1956 ,1467.829
65,13-01-1956 ,1417.624
66,14-01-1956 ,1414.226
67,15-01-1956 ,1397.379
68,16-01-1956 ,1363.395
69,17-01-1956 ,1410.725
70,18-01-1956 ,1381.516
71,19-01-1956 ,1419.943
72,20-01-1956 ,2459.36
73,21-01-1956 ,4128.1759999999995
74,22-01-1956 ,3024.025
75,23-01-1956 ,2021.513
76,24-01-1956 ,1691.725
77,25-01-1956 ,1567.464
78,26-01-1956 ,1542.22
79,27-01-1956 ,1488.172
80,28-01-1956 ,1484.516
81,29-01-1956 ,1484.516
82,30-01-1956 ,1434.8139999999999
83,31-01-1956 ,1335.2579999999998
84,01-01-1957 ,1542.3220000000001
85,02-01-1957 ,1549.652
86,03-01-1957 ,1586.18
87,04-01-1957 ,1716.619
88,05-01-1957 ,1781.44
89,06-01-1957 ,1766.443
90,07-01-1957 ,1709.476
91,08-01-1957 ,1686.476
92,09-01-1957 ,1628.8829999999998
93,10-01-1957 ,1624.985
94,11-01-1957 ,1624.985
95,12-01-1957 ,1624.985
96,13-01-1957 ,1624.985
97,14-01-1957 ,1624.985
98,15-01-1957 ,1624.985
